fecha_recepcion,fecha_envio,producto,subproducto,asunto,subasunto,descripcion_queja,descripcion_solucion,compania,estado_abbr,estado,codigo_postal,etiquetas,consentimiento_cliente,medio_comunicacion,estatus_queja,respuesta_a_tiempo,se_abre_disputa
31/07/2013,02/08/2013,Credit card,,Transaction issue,,,,Discover,OR,Oregon,97086,,N/A,Referral,Closed with non-monetary relief,Yes,No
31/07/2013,19/09/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,GA,Georgia,30121,,N/A,Referral,Closed with explanation,Yes,No
30/07/2013,31/07/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Ocwen,VA,Virginia,20878,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,26/08/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,MI,Michigan,48439,,N/A,Postal mail,Closed with explanation,Yes,No
30/07/2013,31/07/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",MD,Maryland,21078,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,05/08/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Provident Funding,CT,Connecticut,6106,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,05/08/2013,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,,Bank of America,NY,New York,11581,,N/A,Web,Closed with explanation,Yes,Yes
31/07/2013,31/07/2013,Credit card,,Balance transfer fee,,,,Discover,CA,California,91356,,N/A,Web,Closed with non-monetary relief,Yes,No
30/07/2013,31/07/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,GA,Georgia,30121,,N/A,Web,Closed with non-monetary relief,Yes,Yes
31/07/2013,05/08/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Specialized Loan Servicing LLC,CA,California,94565,,N/A,Web,Closed,Yes,No
30/07/2013,31/07/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,IL,Illinois,60626,,N/A,Phone,Closed with monetary relief,Yes,No
31/07/2013,20/08/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",OR,Oregon,97236,,N/A,Postal mail,Closed with explanation,Yes,No
30/07/2013,30/07/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,OK,Oklahoma,73053,Older American,N/A,Web,Closed with explanation,Yes,No
30/07/2013,31/07/2013,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,FL,Florida,34237,,N/A,Referral,Closed with explanation,Yes,Yes
31/07/2013,06/08/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,MO,Missouri,63456,,N/A,Web,Closed with non-monetary relief,Yes,No
30/07/2013,31/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MO,Missouri,64048,,N/A,Referral,Closed with explanation,Yes,No
31/07/2013,05/08/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,California,95117,,N/A,Postal mail,Closed with explanation,Yes,No
30/07/2013,31/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,SC,South Carolina,29212,Servicemember,N/A,Referral,Closed with explanation,Yes,Yes
31/07/2013,16/08/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,,,Total Recovery Solutions,TX,Texas,77551,,N/A,Web,Closed with explanation,Yes,Yes
31/07/2013,02/08/2013,Credit card,,Billing disputes,,,,Bank of America,MT,Montana,59446,,N/A,Phone,Closed with monetary relief,Yes,No
31/07/2013,31/07/2013,Credit reporting,,Incorrect information on credit report,Public record,,,Experian,AL,Alabama,35124,,N/A,Web,Closed with non-monetary relief,Yes,No
30/07/2013,02/08/2013,Mortgage,Other mortgage,Other,,,,Ditech Financial LLC,NH,New Hampshire,3431,,N/A,Referral,Closed with explanation,Yes,No
